,filepath,filename,label
1467,image_data/ready_position/R_142.jpeg,R_142.jpeg,ready_position
936,image_data/forehand/F_498.jpeg,F_498.jpeg,forehand
71,image_data/backhand/B_483.jpeg,B_483.jpeg,backhand
1354,image_data/ready_position/R_083.jpeg,R_083.jpeg,ready_position
45,image_data/backhand/B_085.jpeg,B_085.jpeg,backhand
657,image_data/forehand/F_490.jpeg,F_490.jpeg,forehand
744,image_data/forehand/F_171.jpeg,F_171.jpeg,forehand
1183,image_data/ready_position/R_448.jpeg,R_448.jpeg,ready_position
1168,image_data/ready_position/R_425.jpeg,R_425.jpeg,ready_position
767,image_data/forehand/F_365.jpeg,F_365.jpeg,forehand
1537,image_data/serve/S_205.jpeg,S_205.jpeg,serve
1179,image_data/ready_position/R_366.jpeg,R_366.jpeg,ready_position
400,image_data/backhand/B_212.jpeg,B_212.jpeg,backhand
176,image_data/backhand/B_164.jpeg,B_164.jpeg,backhand
855,image_data/forehand/F_098.jpeg,F_098.jpeg,forehand
155,image_data/backhand/B_216.jpeg,B_216.jpeg,backhand
1137,image_data/ready_position/R_203.jpeg,R_203.jpeg,ready_position
1750,image_data/serve/S_097.jpeg,S_097.jpeg,serve
1462,image_data/ready_position/R_011.jpeg,R_011.jpeg,ready_position
227,image_data/backhand/B_016.jpeg,B_016.jpeg,backhand
934,image_data/forehand/F_359.jpeg,F_359.jpeg,forehand
299,image_data/backhand/B_367.jpeg,B_367.jpeg,backhand
1348,image_data/ready_position/R_187.jpeg,R_187.jpeg,ready_position
726,image_data/forehand/F_307.jpeg,F_307.jpeg,forehand
465,image_data/backhand/B_478.jpeg,B_478.jpeg,backhand
1563,image_data/serve/S_053.jpeg,S_053.jpeg,serve
940,image_data/forehand/F_499.jpeg,F_499.jpeg,forehand
2,image_data/backhand/B_322.jpeg,B_322.jpeg,backhand
1868,image_data/serve/S_152.jpeg,S_152.jpeg,serve
1043,image_data/ready_position/R_317.jpeg,R_317.jpeg,ready_position
1308,image_data/ready_position/R_431.jpeg,R_431.jpeg,ready_position
683,image_data/forehand/F_279.jpeg,F_279.jpeg,forehand
1307,image_data/ready_position/R_061.jpeg,R_061.jpeg,ready_position
592,image_data/forehand/F_395.jpeg,F_395.jpeg,forehand
1690,image_data/serve/S_370.jpeg,S_370.jpeg,serve
1704,image_data/serve/S_388.jpeg,S_388.jpeg,serve
1259,image_data/ready_position/R_112.jpeg,R_112.jpeg,ready_position
1616,image_data/serve/S_176.jpeg,S_176.jpeg,serve
371,image_data/backhand/B_350.jpeg,B_350.jpeg,backhand
1180,image_data/ready_position/R_223.jpeg,R_223.jpeg,ready_position
1169,image_data/ready_position/R_075.jpeg,R_075.jpeg,ready_position
214,image_data/backhand/B_240.jpeg,B_240.jpeg,backhand
1725,image_data/serve/S_146.jpeg,S_146.jpeg,serve
1439,image_data/ready_position/R_302.jpeg,R_302.jpeg,ready_position
103,image_data/backhand/B_175.jpeg,B_175.jpeg,backhand
296,image_data/backhand/B_019.jpeg,B_019.jpeg,backhand
961,image_data/forehand/F_323.jpeg,F_323.jpeg,forehand
1637,image_data/serve/S_203.jpeg,S_203.jpeg,serve
425,image_data/backhand/B_414.jpeg,B_414.jpeg,backhand
1818,image_data/serve/S_021.jpeg,S_021.jpeg,serve
1734,image_data/serve/S_279.jpeg,S_279.jpeg,serve
887,image_data/forehand/F_338.jpeg,F_338.jpeg,forehand
895,image_data/forehand/F_103.jpeg,F_103.jpeg,forehand
208,image_data/backhand/B_260.jpeg,B_260.jpeg,backhand
415,image_data/backhand/B_068.jpeg,B_068.jpeg,backhand
918,image_data/forehand/F_158.jpeg,F_158.jpeg,forehand
537,image_data/forehand/F_025.jpeg,F_025.jpeg,forehand
1667,image_data/serve/S_167.jpeg,S_167.jpeg,serve
358,image_data/backhand/B_468.jpeg,B_468.jpeg,backhand
979,image_data/forehand/F_196.jpeg,F_196.jpeg,forehand
1673,image_data/serve/S_433.jpeg,S_433.jpeg,serve
1197,image_data/ready_position/R_263.jpeg,R_263.jpeg,ready_position
286,image_data/backhand/B_023.jpeg,B_023.jpeg,backhand
20,image_data/backhand/B_162.jpeg,B_162.jpeg,backhand
1546,image_data/serve/S_383.jpeg,S_383.jpeg,serve
1543,image_data/serve/S_317.jpeg,S_317.jpeg,serve
1245,image_data/ready_position/R_081.jpeg,R_081.jpeg,ready_position
1549,image_data/serve/S_045.jpeg,S_045.jpeg,serve
1617,image_data/serve/S_208.jpeg,S_208.jpeg,serve
1858,image_data/serve/S_484.jpeg,S_484.jpeg,serve
1012,image_data/ready_position/R_462.jpeg,R_462.jpeg,ready_position
765,image_data/forehand/F_109.jpeg,F_109.jpeg,forehand
51,image_data/backhand/B_314.jpeg,B_314.jpeg,backhand
633,image_data/forehand/F_424.jpeg,F_424.jpeg,forehand
1418,image_data/ready_position/R_293.jpeg,R_293.jpeg,ready_position
861,image_data/forehand/F_061.jpeg,F_061.jpeg,forehand
273,image_data/backhand/B_111.jpeg,B_111.jpeg,backhand
1435,image_data/ready_position/R_495.jpeg,R_495.jpeg,ready_position
1569,image_data/serve/S_005.jpeg,S_005.jpeg,serve
577,image_data/forehand/F_462.jpeg,F_462.jpeg,forehand
1815,image_data/serve/S_020.jpeg,S_020.jpeg,serve
1318,image_data/ready_position/R_021.jpeg,R_021.jpeg,ready_position
1343,image_data/ready_position/R_373.jpeg,R_373.jpeg,ready_position
1566,image_data/serve/S_052.jpeg,S_052.jpeg,serve
1998,image_data/serve/S_230.jpeg,S_230.jpeg,serve
557,image_data/forehand/F_320.jpeg,F_320.jpeg,forehand
912,image_data/forehand/F_119.jpeg,F_119.jpeg,forehand
630,image_data/forehand/F_189.jpeg,F_189.jpeg,forehand
280,image_data/backhand/B_074.jpeg,B_074.jpeg,backhand
991,image_data/forehand/F_006.jpeg,F_006.jpeg,forehand
1004,image_data/ready_position/R_423.jpeg,R_423.jpeg,ready_position
1191,image_data/ready_position/R_235.jpeg,R_235.jpeg,ready_position
1905,image_data/serve/S_401.jpeg,S_401.jpeg,serve
339,image_data/backhand/B_281.jpeg,B_281.jpeg,backhand
479,image_data/backhand/B_360.jpeg,B_360.jpeg,backhand
1097,image_data/ready_position/R_496.jpeg,R_496.jpeg,ready_position
1919,image_data/serve/S_047.jpeg,S_047.jpeg,serve
335,image_data/backhand/B_130.jpeg,B_130.jpeg,backhand
1836,image_data/serve/S_277.jpeg,S_277.jpeg,serve
1372,image_data/ready_position/R_451.jpeg,R_451.jpeg,ready_position
1806,image_data/serve/S_124.jpeg,S_124.jpeg,serve
621,image_data/forehand/F_090.jpeg,F_090.jpeg,forehand
1387,image_data/ready_position/R_227.jpeg,R_227.jpeg,ready_position
1176,image_data/ready_position/R_034.jpeg,R_034.jpeg,ready_position
1267,image_data/ready_position/R_153.jpeg,R_153.jpeg,ready_position
131,image_data/backhand/B_410.jpeg,B_410.jpeg,backhand
1903,image_data/serve/S_026.jpeg,S_026.jpeg,serve
1557,image_data/serve/S_141.jpeg,S_141.jpeg,serve
1774,image_data/serve/S_485.jpeg,S_485.jpeg,serve
1126,image_data/ready_position/R_475.jpeg,R_475.jpeg,ready_position
245,image_data/backhand/B_428.jpeg,B_428.jpeg,backhand
7,image_data/backhand/B_363.jpeg,B_363.jpeg,backhand
1224,image_data/ready_position/R_392.jpeg,R_392.jpeg,ready_position
47,image_data/backhand/B_206.jpeg,B_206.jpeg,backhand
600,image_data/forehand/F_454.jpeg,F_454.jpeg,forehand
1643,image_data/serve/S_468.jpeg,S_468.jpeg,serve
1202,image_data/ready_position/R_367.jpeg,R_367.jpeg,ready_position
1795,image_data/serve/S_276.jpeg,S_276.jpeg,serve
1002,image_data/ready_position/R_161.jpeg,R_161.jpeg,ready_position
1929,image_data/serve/S_342.jpeg,S_342.jpeg,serve
